,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptoms_5
630,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
631,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
632,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
633,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
634,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
635,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
636,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
637,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
638,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
639,Hepatitis D,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, abdominal_pain
640,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
641,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
642,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
643,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
644,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
645,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
646,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
647,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
648,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
649,Hepatitis E, yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, vomiting
650,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
651,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
652,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
653,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
654,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
655,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
656,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
657,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
658,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
659,Alcoholic hepatitis, history_of_alcohol_consumption,vomiting, yellowing_of_eyes, abdominal_pain,foul_smell_of_urine
660,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
661,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
662,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
663,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
664,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
665,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
666,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
667,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
668,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
669,Tuberculosis,breathlessness,chest_pain,blood_in_sputum, weight_loss,cough
670,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
671,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
672,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
673,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
674,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
675,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
676,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
677,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
678,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
679,Common Cold,mild_fever, runny_nose, congestion, cough, throat_irritation
680,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
681,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
682,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
683,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
684,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
685,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
686,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
687,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
688,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
689,Pneumonia,cough, high_fever, breathlessness, chest_pain, phlegm
690,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
691,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
692,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
693,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
694,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
695,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
696,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
697,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
698,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
699,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool, irritation_in_anus, constipation
700,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
701,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
702,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
703,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
704,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
705,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
706,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
707,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
708,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
709,Heart attack,chest_pain, breathlessness, sweating, nausea, fast_heart_rate
710,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
711,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
712,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
713,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
714,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
715,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
716,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
717,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
718,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
719,Varicose veins,swollen_legs, swollen_blood_vessels, prominent_veins_on_calf, painful_walking, cramps
720,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
721,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
722,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
723,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
724,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
725,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
726,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
727,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
728,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
729,Hypothyroidism,weight_gain, cold_hands_and_feets, fatigue, enlarged_thyroid, brittle_nails
730,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
731,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
732,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
733,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
734,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
735,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
736,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
737,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
738,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
739,Hyperthyroidism,weight_loss, excessive_hunger, sweating, fast_heart_rate, irritability
740,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
741,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
742,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
743,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
744,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
745,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
746,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
747,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
748,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
749,Hypoglycemia,sweating, dizziness, fatigue, headache, palpitations
750,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
751,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
752,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
753,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
754,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
755,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
756,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
757,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
758,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
759,Osteoarthristis,joint_pain, knee_pain, hip_joint_pain, swelling_joints, movement_stiffness
760,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
761,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
762,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
763,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
764,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
765,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
766,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
767,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
768,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
769,Arthritis,joint_pain, swelling_joints, movement_stiffness, muscle_pain, stiff_neck
770,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
771,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
772,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
773,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
774,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
775,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
776,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
777,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
778,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
779,(vertigo) Paroymsal  Positional Vertigo,spinning_movements, loss_of_balance, unsteadiness, dizziness, nausea
780,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
781,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
782,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
783,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
784,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
785,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
786,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
787,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
788,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
789,Acne,pus_filled_pimples, blackheads, scurring, skin_peeling, blister
790,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
791,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
792,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
793,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
794,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
795,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
796,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
797,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
798,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
799,Urinary tract infection,burning_micturition, spotting_ urination, continuous_feel_of_urine, bladder_discomfort,foul_smell_of_urine
800,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
801,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
802,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
803,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
804,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
805,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
806,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
807,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
808,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
809,Psoriasis,skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails
810,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
811,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
812,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
813,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
814,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
815,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
816,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
817,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
818,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
819,Impetigo,skin_rash, blister, red_sore_around_nose, yellow_crust_ooze, itching
820,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,
821,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,
822,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
823,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
824,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
825,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
826,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
827,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
828,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,skin_peeling
829,Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,
830,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
831,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
832,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
833,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
834,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
835,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
836,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
837,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
838,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
839,Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,redness_of_eyes
840,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,
841,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,
842,GERD, stomach_pain, acidity, vomiting, cough,
843,GERD, stomach_pain, acidity, ulcers_on_tongue, cough,
844,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,
845,GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,
846,GERD, acidity, ulcers_on_tongue, vomiting, cough,
847,GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,
848,GERD, stomach_pain, acidity, vomiting, cough,
849,GERD, stomach_pain, acidity, ulcers_on_tongue, cough,
850,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,abdominal_pain
851,Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite,abdominal_pain
852,Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite,abdominal_pain
853,Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite,abdominal_pain
854,Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite,abdominal_pain
855,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,abdominal_pain
856,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,abdominal_pain
857,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,abdominal_pain
858,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,abdominal_pain
859,Chronic cholestasis,itching, vomiting, yellowish_skin, nausea,abdominal_pain
860,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,
861,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,
862,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,
863,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,
864,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,
865,Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,
866,Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,
867,Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,
868,Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,
869,Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,
870,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,
871,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases,
872,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,
873,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases,
874,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases,
875,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases,
876,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,
877,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,
878,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,
879,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain,
880,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,
881,AIDS, patches_in_throat, high_fever, extra_marital_contacts,Severe unexplained weight loss,
882,AIDS, muscle_wasting, high_fever, extra_marital_contacts,Severe unexplained weight loss,
883,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,Severe unexplained weight loss,
884,AIDS, muscle_wasting, patches_in_throat, high_fever,Severe unexplained weight loss,
885,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,
886,AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,
887,AIDS, patches_in_throat, high_fever, extra_marital_contacts,,
888,AIDS, muscle_wasting, high_fever, extra_marital_contacts,,
889,AIDS, muscle_wasting, patches_in_throat, high_fever,,
890,Diabetes , fatigue, weight_loss, restlessness, lethargy,
891,Diabetes , fatigue, weight_loss, restlessness, lethargy,
892,Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level,
893,Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level,
894,Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level,
895,Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level,
896,Diabetes , fatigue, weight_loss, restlessness, lethargy,
897,Diabetes , fatigue, weight_loss, restlessness, lethargy,
898,Diabetes , fatigue, weight_loss, restlessness, lethargy,
899,Diabetes , fatigue, weight_loss, restlessness, lethargy,
900,Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,
901,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
902,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
903,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
904,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
905,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
906,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
907,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
908,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
909,Gastroenteritis,diarrhoea, vomiting, abdominal_pain, dehydration, nausea
910,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
911,Bronchial Asthma, cough, high_fever, breathlessness, family_history,
912,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history,
913,Bronchial Asthma, fatigue, cough, breathlessness, family_history,
914,Bronchial Asthma, fatigue, cough, high_fever, family_history,
915,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
916,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
917,Bronchial Asthma, fatigue, cough, high_fever, breathlessness,
918,Bronchial Asthma, cough, high_fever, breathlessness, family_history,
919,Bronchial Asthma, fatigue, high_fever, breathlessness, family_history,
920,Hypertension , headache, chest_pain, dizziness, loss_of_balance,
921,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,
922,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,
923,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,
924,Hypertension , headache, chest_pain, dizziness, lack_of_concentration,
925,Hypertension , headache, chest_pain, dizziness, loss_of_balance,
926,Hypertension , headache, chest_pain, dizziness, loss_of_balance,
927,Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,
928,Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,
929,Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,
930,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision,
931,Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger,
932,Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger,
933,Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger,
934,Migraine, acidity, indigestion, headache, excessive_hunger,
935,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision,
936,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision,
937,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision,
938,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision,
939,Migraine, acidity, indigestion, headache, blurred_and_distorted_vision,
940,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
941,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
942,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,
943,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,
944,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,
945,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,
946,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
947,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,
948,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,
949,Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,
950,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,
951,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,
952,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,
953,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,
954,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,
955,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,
956,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,
957,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,
958,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,
959,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,
960,Jaundice,yellowing_of_eyes, yellowish_skin, dark_urine, fatigue, loss_of_appetite
